protein_id	protein_name	copy_number	cluster_id
GDKOHJ_24195	IS1 family IS1SD transposase ORF B	8	GDKOHJ_06515
GDKOHJ_24180	IS1 family IS1SD transposase ORF B	8	GDKOHJ_06515
GDKOHJ_24025	IS1 family transposase	8	GDKOHJ_06515
GDKOHJ_23910	IS1 family transposase	8	GDKOHJ_06515
GDKOHJ_14820	IS1 family transposase	8	GDKOHJ_06515
GDKOHJ_14810	IS1 family transposase	8	GDKOHJ_06515
GDKOHJ_06405	IS1 family transposase	8	GDKOHJ_06515
GDKOHJ_06515	IS1 family IS1SD transposase ORF B	8	GDKOHJ_06515
GDKOHJ_14825	IS1 family IS1A transposase ORF A	7	GDKOHJ_06520
GDKOHJ_14805	IS1 family IS1A transposase ORF A	7	GDKOHJ_06520
GDKOHJ_06520	IS1 family IS1A transposase ORF A	7	GDKOHJ_06520
GDKOHJ_23915	IS1 family IS1B transposase ORF A	7	GDKOHJ_06520
GDKOHJ_24185	IS1 family IS1A transposase ORF A	7	GDKOHJ_06520
GDKOHJ_24190	IS1 family IS1A transposase ORF A	7	GDKOHJ_06520
GDKOHJ_24030	IS1 family IS1A transposase ORF A	7	GDKOHJ_06520
GDKOHJ_03795	IS3 family IS2 transposase ORF A	6	GDKOHJ_03795
GDKOHJ_06540	IS3 family IS2 transposase ORF A	6	GDKOHJ_03795
GDKOHJ_07510	Transposase	6	GDKOHJ_03795
GDKOHJ_14740	IS3 family IS2 transposase ORF A	6	GDKOHJ_03795
GDKOHJ_20075	IS3 family IS2 transposase ORF A	6	GDKOHJ_03795
GDKOHJ_24235	IS3 family IS2 transposase ORF A	6	GDKOHJ_03795
GDKOHJ_24285	Integrase catalytic domain-containing protein	5	GDKOHJ_14670
GDKOHJ_24295	HTH-like domain-containing protein	5	GDKOHJ_14670
GDKOHJ_23805	HTH-like domain-containing protein	5	GDKOHJ_14670
GDKOHJ_14670	IS3 family IS629 transposase ORF B	5	GDKOHJ_14670
GDKOHJ_23975	IS6 family IS15DIV transposase	5	GDKOHJ_20700
GDKOHJ_23945	IS6 family IS15DIV transposase	5	GDKOHJ_20700
GDKOHJ_23890	IS6 family IS15DIV transposase	5	GDKOHJ_20700
GDKOHJ_20720	IS6 family IS15DIV transposase	5	GDKOHJ_20700
